ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1900-01-01,0.7244600079311423,-0.8600045720399665,1.1644232412958844,0.7244600079311423,0.7244600079311423,-0.5690127052160987,-0.5690127052160987,-0.5690127052160987,-0.5690127052160987,-0.5690127052160987,-0.5690127052160987,0.0,0.0,0.0,0.1554473027150436
1901-01-01,0.7227501685499921,-0.9099140975549972,1.1885941414377095,0.7227501685499921,0.7227501685499921,-0.5850868581396543,-0.5850868581396543,-0.5850868581396543,-0.5850868581396543,-0.5850868581396543,-0.5850868581396543,0.0,0.0,0.0,0.13766331041033775
1902-01-01,0.7210403291688419,-0.8988365833424562,1.198926707485616,0.7210403291688419,0.7210403291688419,-0.6007524366528093,-0.6007524366528093,-0.6007524366528093,-0.6007524366528093,-0.6007524366528093,-0.6007524366528093,0.0,0.0,0.0,0.12028789251603256
1903-01-01,0.7193304897876918,-0.8769018236375244,1.1394497747573378,0.7193304897876918,0.7193304897876918,-0.6159903811491333,-0.6159903811491333,-0.6159903811491333,-0.6159903811491333,-0.6159903811491333,-0.6159903811491333,0.0,0.0,0.0,0.10334010863855847
1904-01-01,0.7176206504065415,-0.8949493310906838,1.1607558744960853,0.7176206504065415,0.7176206504065415,-0.6307821523203005,-0.6307821523203005,-0.6307821523203005,-0.6307821523203005,-0.6307821523203005,-0.6307821523203005,0.0,0.0,0.0,0.086838498086241
1905-01-01,0.7159061265240503,-0.8259555899895925,1.2224706512518275,0.7159061265240503,0.7159061265240503,-0.585086858139505,-0.585086858139505,-0.585086858139505,-0.585086858139505,-0.585086858139505,-0.585086858139505,0.0,0.0,0.0,0.13081926838454527
1906-01-01,0.7141962871330414,-0.9726938913913946,1.1151548707473478,0.7141962871330414,0.7141962871330414,-0.6007524366527149,-0.6007524366527149,-0.6007524366527149,-0.6007524366527149,-0.6007524366527149,-0.6007524366527149,0.0,0.0,0.0,0.11344385048032646
1907-01-01,0.7124864477420324,-0.9323620791561218,1.100420415638523,0.7124864477420324,0.7124864477420324,-0.6159903811493005,-0.6159903811493005,-0.6159903811493005,-0.6159903811493005,-0.6159903811493005,-0.6159903811493005,0.0,0.0,0.0,0.09649606659273191
1908-01-01,0.7107766083510233,-0.9303346549333404,1.1827274599847213,0.7107766083510233,0.7107766083510233,-0.6307821523201839,-0.6307821523201839,-0.6307821523201839,-0.6307821523201839,-0.6307821523201839,-0.6307821523201839,0.0,0.0,0.0,0.07999445603083943
1909-01-01,0.709062084375681,-0.8438644305185563,1.1452649107653863,0.709062084375681,0.709062084375681,-0.5850868581394496,-0.5850868581394496,-0.5850868581394496,-0.5850868581394496,-0.5850868581394496,-0.5850868581394496,0.0,0.0,0.0,0.12397522623623136
1910-01-01,0.7073522448920745,-0.8850896650970144,1.059493011642523,0.7073522448920745,0.7073522448920745,-0.6007524366529288,-0.6007524366529288,-0.6007524366529288,-0.6007524366529288,-0.6007524366529288,-0.6007524366529288,0.0,0.0,0.0,0.10659980823914572
